id,country_id,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
149,149,"54,721",0,38,0,"53,569",0,"1,114",0,"4,334",3,"345,742","27,386"
150,150,"51,220",0,172,0,"51,048",0,0,0,"515,157","1,730",0,0
151,151,"49,051",0,307,0,"48,674",0,70,0,"21,038",132,"1,621,909","695,641"
152,152,"48,015",0,165,0,0,0,0,0,"619,844","2,130","249,838","3,225,256"
153,153,"46,864",0,670,0,"46,168",0,26,0,"5,043",72,"249,149","26,813"
154,154,"45,986",0,295,0,"44,720",0,971,3,"277,812","1,782","496,693","3,000,640"
155,155,"44,224",0,292,0,"42,438",0,"1,494",2,"410,969","2,714","177,885","1,653,068"
156,156,"43,223",0,846,0,0,0,0,0,683,13,0,0
157,157,"43,025",0,"1,051",0,"41,278",0,696,0,"33,752",824,"358,675","281,374"
158,158,"42,027",0,188,0,0,0,0,0,"146,815",657,"176,919","618,038"
159,159,"39,572",0,290,0,"39,281",0,1,0,"4,559",33,"815,204","93,908"
160,160,"38,572",0,468,0,"37,757",0,347,0,"2,782",34,"660,107","47,607"
161,161,"38,084",0,844,0,"36,366",0,874,1,"95,087","2,107","257,839","643,767"
162,162,"38,008",0,116,0,0,0,0,0,"443,335","1,353","150,753","1,758,422"
163,163,"36,138",0,723,0,"25,980",0,"9,435",0,"16,610",332,"431,221","198,199"
164,164,"34,667",0,860,0,"33,734",0,73,0,"2,968",74,"132,422","11,337"
165,165,"34,658",0,28,0,0,0,0,0,"703,959",569,"778,000","15,802,409"
166,166,"33,164",0,743,0,"32,332",0,89,0,"1,544",35,"804,909","37,483"
167,167,"31,472",0,37,0,"8,553",0,"22,882",1,"467,797",550,"222,773","3,311,280"
168,168,"30,215",0,410,0,"29,805",0,0,0,"163,225","2,215","210,983","1,139,752"
169,169,"28,036",0,163,0,"27,847",0,26,0,"2,193",13,"604,310","47,268"
170,170,"27,673",0,123,0,"3,487",0,"24,063",0,"41,458",184,"7,850","11,760"
171,171,"27,334",0,"1,361",0,"13,182",0,"12,791",0,"1,623",81,"400,466","23,778"
172,172,"26,547",0,65,0,0,0,0,0,"225,953",553,"82,430","701,598"
173,173,"26,185",0,128,0,"26,011",0,46,0,"768,226","3,755","196,855","5,775,414"
174,174,"25,954",0,199,0,0,0,0,0,"35,989",276,0,0
175,175,"25,375",0,386,0,"24,006",0,983,0,"4,377",67,"347,815","59,991"
176,176,"23,460",0,138,0,"23,102",0,220,0,"17,131",101,"278,529","203,391"
177,177,"22,114",0,400,0,"21,596",0,118,0,"1,001",18,"248,995","11,265"
178,178,"21,574",0,94,0,0,0,0,0,"562,013","2,449","112,457","2,929,559"
179,179,"20,550",0,113,0,0,0,0,0,"609,720","3,353","534,283","15,852,213"
180,180,"19,693",0,238,0,"19,358",0,97,4,"173,545","2,097","182,981","1,612,523"
181,181,"18,860",0,165,0,"18,685",0,10,0,"304,493","2,664","1,029,558","16,622,128"
